Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2015,"Cum 2015, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2014,"Total cases reported  2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",States reporting cases during current week (No.) 
Brucellosis,2015,42,,-,91,,1,,92,,99,,114,,79,,115,,
Cyclosporiasis††,2015,42,3,,571,,3,,388,,784,,123,,151,,179,,"NYC (1 ), MD (1 ), FL (1 )"
Q FEVER TOTAL,2015,52,,-,130,,3,,168,,170,,135,,134,,131,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,42,2,,145,,4,,196,,298,,260,,323,,406,,"CO (1 ), OR (1 )"
"Viral hemorrhagic fever, Lujo virus††,****:",2015,42,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal††",2015,42,4,,178,,7,,250,,329,,274,,290,,266,,"NY (1 ), NC (1 ), TN (1 ), TX (1 )"
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,42,,-,17,,0,,10,,1,,3,,6,,10,,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,42,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Novel influenza A virus infections§§§,2015,42,,-,5,,0,,3,,21,,313,,14,,4,,
"Meningococcal disease, invasive†††, serogroup B",2015,42,,-,64,,2,,89,,99,,110,,159,,135,,
"Botulism, other (wound and unspecified)",2015,42,,-,14,,1,,19,,12,,18,,32,,25,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,42,,-,18,,1,,40,,31,,30,,14,,23,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,42,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute††",2015,42,,-,94,,1,,132,,137,,113,,110,,106,,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,42,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Chancroid,2015,42,1,,17,,0,,6,,,-,15,,8,,24,,CA (1 )
"Q fever, chronic††",2015,42,,-,15,,1,,36,,33,,22,,24,,25,,
"Hantavirus infection (non-HPS)¶,††",2015,42,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Rabies, human",2015,42,,-,1,,,-,1,,2,,1,,6,,2,,
Cholera,2015,42,,-,1,,0,,5,,14,,17,,40,,13,,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,42,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Smallpox††,2015,42,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome††,2015,42,2,,206,,2,,259,,224,,194,,168,,142,,"NY (1 ), NC (1 )"
"Viral hemorrhagic fever, Lassa fever††,****:",2015,42,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,42,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,42,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Plague,2015,42,,-,9,,0,,10,,4,,4,,3,,2,,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,42,,-,,-,,-,4,,,NP,,NP,,NP,,NP,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,42,,-,241,,7,,458,,348,,322,,360,,377,,
Hansen disease††,2015,42,2,,49,,2,,88,,81,,82,,82,,98,,"FL (1 ), TN (1 )"
Leptospirosis††,2015,42,,-,23,,0,,38,,,NN,,NN,,NN,,NN,
"Botulism, total",2015,42,,-,151,,3,,161,,152,,168,,153,,112,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,42,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus††,2015,42,3,,118,,3,,212,,248,,134,,82,,91,,"NYC (2 ), MD (1 )"
"Meningococcal disease, invasive†††, other serogroup",2015,42,,-,18,,0,,25,,17,,20,,20,,12,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,42,2,,171,,3,,204,,185,,210,,226,,223,,"OK (1 ), AK (1 )"
"Influenza-associated pediatric mortality**,††",2015,42,1,,123,,0,,141,,160,,52,,118,,61,,TX (1 )
Anthrax,2015,42,,-,,-,,-,,-,,-,,-,1,,,-,
Yellow fever,2015,42,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total††",2015,42,,-,109,,2,,168,,170,,135,,134,,131,,
Typhoid fever,2015,42,1,,270,,6,,349,,338,,354,,390,,467,,PA (1 )
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,42,,-,1,,0,,8,,8,,15,,4,,10,,
Hantavirus Pulmonary Syndrome (HPS)††,2015,42,,-,12,,0,,32,,21,,30,,23,,20,,
Measles***,2015,42,,-,189,,1,,667,,187,,55,,220,,63,,
Toxic-shock syndrome (staphylococcal)††,2015,42,,-,41,,1,,59,,71,,65,,78,,82,,
"Arboviral diseases, Powassan virus disease**,††",2015,42,,-,3,,0,,8,,12,,7,,16,,8,,
Diphtheria,2015,42,,-,,-,,-,1,,,-,1,,,-,,-,
Tularemia,2015,42,1,,219,,3,,180,,203,,149,,166,,124,,ID (1 )
"Polio virus Infection, nonparalytic,††",2015,42,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,42,,-,183,,3,,228,,222,,205,,145,,200,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,42,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Meningococcal disease, invasive†††, serogroup ACWY",2015,42,,-,58,,3,,123,,142,,161,,257,,280,,
Psittacosis††,2015,42,,-,6,,0,,8,,6,,2,,2,,4,,
"Poliomyelitis, paralytic",2015,42,,-,,-,,-,,-,1,,,-,,-,,-,
Listeriosis,2015,42,9,,534,,18,,769,,735,,727,,870,,821,,"NY (1 ), SC (2 ), FL (5 ), TN (1 )"
"Arboviral diseases, Powassan virus disease**,††",2015,43,,-,4,,0,,8,,12,,7,,16,,8,,
"Botulism, foodborne",2015,43,,-,40,,0,,15,,4,,27,,24,,7,,
"Q fever, total††",2015,43,,-,111,,2,,168,,170,,135,,134,,131,,
"Meningococcal disease, invasive†††, serogroup B",2015,43,,-,64,,2,,89,,99,,110,,159,,135,,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,43,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Listeriosis,2015,43,7,,547,,16,,769,,735,,727,,870,,821,,"MA (1 ), RI (1 ), NYC (2 ), NC (1 ), SC (1 ), FL (1 )"
"Q fever, acute††",2015,43,,-,96,,2,,132,,137,,113,,110,,106,,
Leptospirosis††,2015,43,1,,24,,1,,38,,,NN,,NN,,NN,,NN,FL (1 )
Vancomycin-resistant Staphylococcus aureus††,2015,43,,-,1,,,-,,-,,-,2,,,-,2,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,43,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,43,,-,18,,1,,40,,31,,30,,14,,23,,
Yellow fever,2015,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, virus infection perinatal",2015,43,,-,19,,1,,47,,48,,40,,,NP,,NP,
Psittacosis††,2015,43,,-,6,,0,,8,,6,,2,,2,,4,,
Streptococcal toxic-shock syndrome††,2015,43,1,,209,,2,,259,,224,,194,,168,,142,,ID (1 )
SARS-CoV††,2015,43,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2015,43,,-,189,,1,,667,,187,,55,,220,,63,,
Brucellosis,2015,43,1,,94,,1,,92,,99,,114,,79,,115,,TX (1 )
"Botulism, infant",2015,43,,-,98,,2,,127,,136,,123,,97,,80,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,43,1,,185,,7,,250,,329,,274,,290,,266,,MN (1 )
Smallpox††,2015,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, chronic††",2015,43,,-,15,,1,,36,,33,,22,,24,,25,,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,43,,-,,-,,-,4,,,NP,,NP,,NP,,NP,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,43,,-,17,,0,,10,,1,,3,,6,,10,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,43,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus††,2015,43,1,,120,,4,,212,,248,,134,,82,,91,,MD (1 )
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,43,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Trichinellosis††,2015,43,,-,5,,0,,14,,22,,18,,15,,7,,
Plague,2015,43,,-,9,,0,,10,,4,,4,,3,,2,,
Novel influenza A virus infections§§§,2015,43,,-,5,,0,,3,,21,,313,,14,,4,,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,43,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Tularemia,2015,43,,-,221,,3,,180,,203,,149,,166,,124,,
Typhoid fever,2015,43,1,,279,,6,,349,,338,,354,,390,,467,,TX (1 )
"Meningococcal disease, invasive†††, unknown serogroup",2015,43,3,,155,,4,,196,,298,,260,,323,,406,,"NY (1 ), OH (1 ), FL (1 )"
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus infection (non-HPS)¶,††",2015,43,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Polio virus Infection, nonparalytic,††",2015,43,,-,,-,,-,,-,,-,,-,,-,,-,
Hantavirus Pulmonary Syndrome (HPS)††,2015,43,,-,12,,0,,32,,21,,30,,23,,20,,
"Rabies, human",2015,43,,-,1,,,-,1,,2,,1,,6,,2,,
Anthrax,2015,43,,-,,-,,-,,-,,-,,-,1,,,-,
"Botulism, other (wound and unspecified)",2015,43,1,,15,,1,,19,,12,,18,,32,,25,,TX (1 )
Chancroid,2015,43,,-,17,,0,,6,,,-,15,,8,,24,,
Cholera,2015,43,,-,1,,0,,5,,14,,17,,40,,13,,
"Influenza-associated pediatric mortality**,††",2015,43,,-,123,,0,,141,,160,,52,,118,,61,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,43,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,43,4,,177,,3,,204,,185,,210,,226,,223,,"PA (1 ), GA (2 ), OK (1 )"
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,43,,-,1,,0,,8,,8,,15,,4,,10,,
"Meningococcal disease, invasive†††, serogroup ACWY",2015,43,,-,57,,3,,123,,142,,161,,257,,280,,
Cyclosporiasis††,2015,43,,-,571,,2,,388,,784,,123,,151,,179,,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,43,,-,242,,7,,458,,348,,322,,360,,377,,
"Meningococcal disease, invasive†††, other serogroup",2015,43,,-,17,,0,,25,,17,,20,,20,,12,,
"Poliomyelitis, paralytic",2015,43,,-,,-,,-,,-,1,,,-,,-,,-,
Hansen disease††,2015,43,1,,51,,2,,88,,81,,82,,82,,98,,VA (1 )
"Arboviral diseases, California serogroup virus disease**,††",2015,43,,-,44,,1,,96,,95,,81,,137,,75,,
"Botulism, total",2015,43,1,,153,,3,,161,,152,,168,,153,,112,,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,43,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,43,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,43,,-,186,,3,,228,,222,,205,,145,,200,,
Diphtheria,2015,43,,-,,-,,-,1,,,-,1,,,-,,-,
Toxic-shock syndrome (staphylococcal)††,2015,43,,-,41,,1,,59,,71,,65,,78,,82,,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,43,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
Toxic-shock syndrome (staphylococcal)††,2015,44,,-,41,,1,,59,,71,,65,,78,,82,,
"Polio virus Infection, nonparalytic,††",2015,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,44,,-,17,,0,,10,,1,,3,,6,,10,,
Anthrax,2015,44,,-,,-,,-,,-,,-,,-,1,,,-,
"Q fever, acute††",2015,44,,-,98,,1,,132,,137,,113,,110,,106,,
"Botulism, total",2015,44,2,,158,,3,,161,,152,,168,,153,,112,,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,44,,-,2,,0,,8,,8,,15,,4,,10,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,44,,-,19,,1,,40,,31,,30,,14,,23,,
Typhoid fever,2015,44,2,,281,,5,,349,,338,,354,,390,,467,,NYC (2 )
"Botulism, infant",2015,44,2,,103,,2,,127,,136,,123,,97,,80,,"NYC (1 ), MD (1 )"
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,44,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus††,2015,44,,-,121,,3,,212,,248,,134,,82,,91,,
"Q fever, chronic††",2015,44,1,,16,,1,,36,,33,,22,,24,,25,,MI (1 )
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,44,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Chancroid,2015,44,,-,16,,0,,6,,,-,15,,8,,24,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,44,2,,152,,5,,196,,298,,260,,323,,406,,"OH (1 ), TX (1 )"
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,44,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,44,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Leptospirosis††,2015,44,,-,24,,1,,38,,,NN,,NN,,NN,,NN,
SARS-CoV††,2015,44,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis††,2015,44,1,,572,,2,,388,,784,,123,,151,,179,,FL (1 )
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,44,,-,252,,6,,458,,348,,322,,360,,377,,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,44,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, serogroup B",2015,44,,-,67,,2,,89,,99,,110,,159,,135,,
Yellow fever,2015,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, Powassan virus disease**,††",2015,44,,-,4,,0,,8,,12,,7,,16,,8,,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,44,,-,,-,,-,4,,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, serogroup ACWY",2015,44,,-,60,,3,,123,,142,,161,,257,,280,,
"Hantavirus infection (non-HPS)¶,††",2015,44,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,44,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,44,,-,123,,1,,141,,160,,52,,118,,61,,
"Hepatitis B, virus infection perinatal",2015,44,,-,21,,1,,47,,48,,40,,,NP,,NP,
Measles***,2015,44,,-,189,,1,,667,,187,,55,,220,,63,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,44,3,,192,,4,,228,,222,,205,,145,,200,,"NY (1 ), OK (1 ), NM (1 )"
Streptococcal toxic-shock syndrome††,2015,44,,-,213,,3,,259,,224,,194,,168,,142,,
"Botulism, foodborne",2015,44,,-,40,,0,,15,,4,,27,,24,,7,,
Diphtheria,2015,44,,-,,-,,-,1,,,-,1,,,-,,-,
Trichinellosis††,2015,44,,-,4,,1,,14,,22,,18,,15,,7,,
Listeriosis,2015,44,5,,560,,16,,769,,735,,727,,870,,821,,"CT (1 ), NY (1 ), NYC (1 ), MD (1 ), FL (1 )"
"Meningococcal disease, invasive†††, other serogroup",2015,44,,-,18,,0,,25,,17,,20,,20,,12,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,44,,-,,-,,-,,-,,-,,-,,-,,-,
Plague,2015,44,,-,9,,0,,10,,4,,4,,3,,2,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,44,5,,180,,4,,204,,185,,210,,226,,223,,"GA (1 ), FL (4 )"
LUJO VIRUS,2015,52,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,44,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Hantavirus Pulmonary Syndrome (HPS)††,2015,44,,-,12,,1,,32,,21,,30,,23,,20,,
Hansen disease††,2015,44,1,,52,,1,,88,,81,,82,,82,,98,,FL (1 )
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,44,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Poliomyelitis, paralytic",2015,44,,-,,-,,-,,-,1,,,-,,-,,-,
Brucellosis,2015,44,,-,98,,1,,92,,99,,114,,79,,115,,
Novel influenza A virus infections§§§,2015,44,,-,5,,1,,3,,21,,313,,14,,4,,
"Q fever, total††",2015,44,1,,114,,2,,168,,170,,135,,134,,131,,
"Rabies, human",2015,44,,-,1,,,-,1,,2,,1,,6,,2,,
Cholera,2015,44,,-,1,,0,,5,,14,,17,,40,,13,,
"Hemolytic uremic syndrome, postdiarrheal††",2015,44,5,,193,,7,,250,,329,,274,,290,,266,,"NC (1 ), KY (2 ), AR (1 ), OK (1 )"
Smallpox††,2015,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,44,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Botulism, other (wound and unspecified)",2015,44,,-,15,,1,,19,,12,,18,,32,,25,,
"Arboviral diseases, California serogroup virus disease**,††",2015,44,,-,48,,1,,96,,95,,81,,137,,75,,
Tularemia,2015,44,,-,224,,3,,180,,203,,149,,166,,124,,
Vancomycin-resistant Staphylococcus aureus††,2015,44,,-,1,,,-,,-,,-,2,,,-,2,,
Psittacosis††,2015,44,,-,6,,0,,8,,6,,2,,2,,4,,
"Botulism, other (wound and unspecified)",2015,45,,-,16,,1,,19,,12,,18,,32,,25,,
Cholera,2015,45,,-,1,,0,,5,,14,,17,,40,,13,,
Listeriosis,2015,45,8,,577,,15,,769,,735,,727,,870,,821,,"NYC (1 ), VA (1 ), SC (1 ), FL (2 ), TX (1 ), OR (1 ), CA (1 )"
"Polio virus Infection, nonparalytic,††",2015,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,45,,-,160,,3,,161,,152,,168,,153,,112,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,45,2,,196,,3,,228,,222,,205,,145,,200,,"DC (1 ), AR (1 )"
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,45,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,45,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,45,,-,258,,6,,458,,348,,322,,360,,377,,
Novel influenza A virus infections§§§,2015,45,,-,5,,1,,3,,21,,313,,14,,4,,
"Poliomyelitis, paralytic",2015,45,,-,,-,,-,,-,1,,,-,,-,,-,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,45,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
Cyclosporiasis††,2015,45,3,,575,,2,,388,,784,,123,,151,,179,,"VA (1 ), FL (2 )"
"Hantavirus infection (non-HPS)¶,††",2015,45,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Powassan virus disease**,††",2015,45,,-,4,,0,,8,,12,,7,,16,,8,,
"Rabies, human",2015,45,,-,1,,,-,1,,2,,1,,6,,2,,
Plague,2015,45,,-,9,,0,,10,,4,,4,,3,,2,,
"Influenza-associated pediatric mortality**,††",2015,45,1,,124,,1,,141,,160,,52,,118,,61,,CA (1 )
"Meningococcal disease, invasive†††, other serogroup",2015,45,,-,18,,1,,25,,17,,20,,20,,12,,
Chancroid,2015,45,,-,15,,0,,6,,,-,15,,8,,24,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,45,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Botulism, infant",2015,45,,-,104,,2,,127,,136,,123,,97,,80,,
Toxic-shock syndrome (staphylococcal)††,2015,45,,-,93,,1,,59,,71,,65,,78,,82,,
"Meningococcal disease, invasive†††, serogroup B",2015,45,,-,69,,2,,89,,99,,110,,159,,135,,
Hantavirus Pulmonary Syndrome (HPS)††,2015,45,,-,12,,0,,32,,21,,30,,23,,20,,
Trichinellosis††,2015,45,,-,4,,1,,14,,22,,18,,15,,7,,
Leptospirosis††,2015,45,,-,24,,0,,38,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,45,,-,,-,,-,4,,,NP,,NP,,NP,,NP,
Streptococcal toxic-shock syndrome††,2015,45,1,,214,,3,,259,,224,,194,,168,,142,,VA (1 )
Measles***,2015,45,,-,189,,1,,667,,187,,55,,220,,63,,
Yellow fever,2015,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute††",2015,45,1,,101,,1,,132,,137,,113,,110,,106,,AZ (1 )
Psittacosis††,2015,45,,-,6,,0,,8,,6,,2,,2,,4,,
Diphtheria,2015,45,,-,,-,,-,1,,,-,1,,,-,,-,
Vancomycin-resistant Staphylococcus aureus††,2015,45,,-,1,,,-,,-,,-,2,,,-,2,,
Hansen disease††,2015,45,1,,54,,1,,88,,81,,82,,82,,98,,FL (1 )
"Botulism, foodborne",2015,45,,-,40,,0,,15,,4,,27,,24,,7,,
Typhoid fever,2015,45,,-,282,,5,,349,,338,,354,,390,,467,,
"Q fever, total††",2015,45,1,,117,,2,,168,,170,,135,,134,,131,,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,45,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal††",2015,45,1,,199,,6,,250,,329,,274,,290,,266,,OR (1 )
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,45,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,45,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, California serogroup virus disease**,††",2015,45,,-,50,,0,,96,,95,,81,,137,,75,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,45,,-,19,,1,,40,,31,,30,,14,,23,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,45,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,45,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,45,,-,17,,0,,10,,1,,3,,6,,10,,
Anthrax,2015,45,,-,,-,,-,,-,,-,,-,1,,,-,
Brucellosis,2015,45,,-,100,,1,,92,,99,,114,,79,,115,,
"Meningococcal disease, invasive†††, serogroup ACWY",2015,45,,-,62,,3,,123,,142,,161,,257,,280,,
"Hepatitis B, virus infection perinatal",2015,45,,-,22,,1,,47,,48,,40,,,NP,,NP,
"Meningococcal disease, invasive†††, unknown serogroup",2015,45,3,,155,,5,,196,,298,,260,,323,,406,,OR (3 )
SARS-CoV††,2015,45,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2015,45,1,,230,,2,,180,,203,,149,,166,,124,,MO (1 )
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,45,,-,2,,,-,8,,8,,15,,4,,10,,
Vancomycin-intermediate Staphylococcus aureus††,2015,45,1,,123,,3,,212,,248,,134,,82,,91,,NC (1 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,45,2,,185,,4,,204,,185,,210,,226,,223,,"PA (1 ), SC (1 )"
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,45,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Q fever, chronic††",2015,45,,-,16,,1,,36,,33,,22,,24,,25,,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,46,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever,2015,46,,-,284,,4,,349,,338,,354,,390,,467,,
Vancomycin-intermediate Staphylococcus aureus††,2015,46,1,,126,,3,,212,,248,,134,,82,,91,,NYC (1 )
"Q fever, chronic††",2015,46,,-,16,,0,,36,,33,,22,,24,,25,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,46,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, California serogroup virus disease**,††",2015,46,,-,52,,0,,96,,95,,81,,137,,75,,
Psittacosis††,2015,46,1,,7,,0,,8,,6,,2,,2,,4,,FL (1 )
Hantavirus Pulmonary Syndrome (HPS)††,2015,46,,-,12,,0,,32,,21,,30,,23,,20,,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,46,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,46,,-,3,,,-,8,,8,,15,,4,,10,,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,46,,-,288,,7,,458,,348,,322,,360,,377,,
Plague,2015,46,,-,9,,0,,10,,4,,4,,3,,2,,
"Polio virus Infection, nonparalytic,††",2015,46,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total††",2015,46,,-,116,,2,,168,,170,,135,,134,,131,,
"Botulism, foodborne",2015,46,,-,40,,0,,15,,4,,27,,24,,7,,
Brucellosis,2015,46,,-,102,,1,,92,,99,,114,,79,,115,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,46,,-,19,,0,,10,,1,,3,,6,,10,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,46,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Leptospirosis††,2015,46,1,,25,,1,,38,,,NN,,NN,,NN,,NN,FL (1 )
Novel influenza A virus infections§§§,2015,46,,-,5,,1,,3,,21,,313,,14,,4,,
Yellow fever,2015,46,,-,,-,,-,,-,,-,,-,,-,,-,
"Influenza-associated pediatric mortality**,††",2015,46,1,,125,,1,,141,,160,,52,,118,,61,,LA (1 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,46,,-,199,,4,,228,,222,,205,,145,,200,,
"Botulism, other (wound and unspecified)",2015,46,,-,17,,0,,19,,12,,18,,32,,25,,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,46,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Trichinellosis††,2015,46,1,,5,,0,,14,,22,,18,,15,,7,,ID (1 )
