Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2016,"Cum 2016, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2015,"Total cases reported  2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",States reporting cases during current week (No.) 
"Meningococcal disease, invasive¶¶¶, serogroup B",2016,14,2,,18,,3,,97,,89,,99,,110,,159,,TX (2 )
"Arboviral diseases¶,** Chikungunya virus††",2016,18,,-,29,,2,,863,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,38,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,23,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,32,,-,1,,1,,6,,8,,8,,15,,4,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,8,,-,,-,0,,6,,8,,8,,15,,4,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,46,,-,30,,,-,55,,80,,85,,78,,130,,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,47,,-,3,,,-,3,,,NN,,NN,,NN,,NN,
Vancomycin-intermediate Staphylococcus aureus**,2016,48,,-,91,,3,,183,,212,,248,,134,,82,,
"Meningococcal disease, invasive§§§, serogroup B",2016,44,1,,57,,2,,111,,89,,99,,110,,159,,ID (1 )
"Meningococcal disease, invasive¶¶¶, unknown serogroup",2016,9,1,,23,,6,,168,,196,,298,,260,,323,,VA (1 )
"Meningococcal disease, invasive§§§, serogroup B",2016,29,,-,42,,1,,111,,89,,99,,110,,159,,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,28,,-,,-,1,,11,,11,,22,,2,,3,,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,33,,-,1,,0,,23,,10,,1,,3,,6,,
"Arboviral diseases¶,** Chikungunya virus††",2016,45,,-,124,,2,,896,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,25,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,46,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, other serogroup",2016,30,,-,9,,0,,21,,25,,17,,20,,20,,
"Meningococcal disease, invasive§§§, serogroup B",2016,2,,-,,-,3,,84,,89,,99,,110,,159,,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,37,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
Measles†††,2016,37,,-,52,,2,,188,,667,,187,,55,,220,,
"Viral hemorrhagic fever††††, Lassa fever",2016,1,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,6,,-,,-,,-,,-,,-,,-,,-,,-,
Novel influenza A virus infections¶¶¶,2016,19,,-,2,,0,,6,,3,,21,,313,,14,,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,37,,-,1,,,-,11,,11,,22,,2,,3,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,25,,-,,-,0,,6,,8,,8,,15,,4,,
Novel influenza A virus infections¶¶¶,2016,39,,-,21,,0,,6,,3,,21,,313,,14,,
"Viral hemorrhagic fever††††, Lassa fever",2016,3,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, serogroup B",2016,20,,-,29,,2,,104,,89,,99,,110,,159,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,5,,-,,-,0,,5,,8,,8,,15,,4,,
"Rabies, human",2016,48,,-,,-,,-,2,,1,,2,,1,,6,,
"Meningococcal disease, invasive§§§, serogroup B",2016,48,1,,62,,2,,111,,89,,99,,110,,159,,NY (1 )
"Viral hemorrhagic fever††††, Marburg fever",2016,21,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,29,,-,58,,2,,120,,123,,142,,161,,257,,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,35,,-,2,,0,,11,,11,,22,,2,,3,,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,34,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,40,,-,13,,0,,55,,80,,85,,78,,130,,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,20,3,,72,,4,,141,,196,,298,,260,,323,,"TX (2 ), AK (1 )"
"Arboviral diseases¶,** Zika virus¶¶ ",2016,4,,-,11,,,-,11,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,34,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Measles§§§,2016,13,1,,5,,4,,186,,667,,187,,55,,220,,CA (1 )
"Meningococcal disease, invasive§§§, serogroup B",2016,38,,-,51,,2,,111,,89,,99,,110,,159,,
"Viral hemorrhagic fever§§§§, Junin hemorrhagic fever",2016,5,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Marburg fever",2016,33,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lassa fever",2016,22,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,36,,-,2,,0,,1,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,9,,-,,-,0,,6,,8,,8,,15,,4,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,28,,-,85,,3,,174,,128,,141,,115,,93,,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,46,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,22,,-,,-,0,,55,,80,,85,,78,,130,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,20,,-,,-,0,,6,,8,,8,,15,,4,,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,15,,-,,-,,-,6,,8,,8,,15,,4,,
"Viral hemorrhagic fever§§§§, Marburg fever",2016,11,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,45,,-,27,,,-,55,,80,,85,,78,,130,,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,42,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,27,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,7,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever††††, Marburg fever",2016,27,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,29,1,,107,,4,,120,,196,,298,,260,,323,,TX (1 )
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,16,,-,381,,,-,45,,,NN,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,47,2,,167,,4,,167,,39,,34,,37,,48,,"NY (1 ), NYC (1 )"
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,17,,-,,-,,-,1,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,35,,-,1,,1,,6,,8,,8,,15,,4,,
"Meningococcal disease, invasive¶¶¶, other serogroup",2016,14,,-,2,,1,,22,,25,,17,,20,,20,,
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,20,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,34,,-,2,,0,,11,,11,,22,,2,,3,,
"Viral hemorrhagic fever††††, Lujo virus",2016,27,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,30,,-,2,,0,,7,,8,,12,,7,,16,,
"Viral hemorrhagic fever§§§§, Machupo hemorrhagic fever",2016,9,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,30,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,29,,-,66,,1,,135,,266,,233,,263,,230,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,31,,-,89,,2,,175,,128,,141,,115,,93,,
Novel influenza A virus infections¶¶¶,2016,2,,-,1,,12,,6,,3,,21,,313,,14,,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,18,4,,66,,5,,146,,196,,298,,260,,323,,"OH (1 ), TX (1 ), CO (1 ), CA (1 )"
Measles†††,2016,23,,-,31,,16,,188,,667,,187,,55,,220,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,31,1,,129,,3,,167,,39,,34,,37,,48,,OH (1 )
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,31,,-,,-,0,,11,,11,,22,,2,,3,,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,22,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,48,1,,156,,4,,120,,196,,298,,260,,323,,ID (1 )
Measles†††,2016,47,,-,60,,1,,188,,667,,187,,55,,220,,
Cyclosporiasis**,2016,48,,-,466,,1,,645,,388,,784,,123,,151,,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,38,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
"Meningococcal disease, invasive¶¶¶, serogroup ACWY",2016,14,1,,25,,4,,102,,123,,142,,161,,257,,WA (1 )
"Meningococcal disease, invasive§§§, serogroup B",2016,47,,-,61,,2,,111,,89,,99,,110,,159,,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,37,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,29,,-,86,,3,,174,,128,,141,,115,,93,,
"Viral hemorrhagic fever§§§§, Guanarito hemorrhagic fever",2016,14,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,38,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive¶¶¶, other serogroup",2016,4,,-,,-,0,,19,,25,,17,,20,,20,,
"Viral hemorrhagic fever††††, Lujo virus",2016,23,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Marburg fever",2016,5,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lujo virus",2016,36,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive¶¶¶, unknown serogroup",2016,6,2,,18,,7,,167,,196,,298,,260,,323,,NYC (2 )
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,31,,-,2,,0,,1,,,NN,,NN,,NN,,NN,
"Meningococcal disease, invasive§§§, other serogroup",2016,48,,-,13,,0,,21,,25,,17,,20,,20,,
"Viral hemorrhagic fever§§§§, Marburg fever",2016,13,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive¶¶¶, other serogroup",2016,11,,-,2,,1,,22,,25,,17,,20,,20,,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, invasive¶¶¶, serogroup B",2016,6,,-,6,,3,,85,,89,,99,,110,,159,,
"Meningococcal disease, invasive§§§, serogroup B",2016,43,1,,55,,2,,111,,89,,99,,110,,159,,TN (1 )
"Viral hemorrhagic fever††††, Lassa fever",2016,16,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Botulism, total",2016,48,2,,156,,3,,195,,161,,152,,168,,153,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,47,,-,111,,1,,135,,266,,233,,263,,230,,
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,27,,-,56,,3,,120,,123,,142,,161,,257,,
"Meningococcal disease, invasive§§§, serogroup B",2016,39,,-,52,,2,,111,,89,,99,,110,,159,,
Novel influenza A virus infections¶¶¶,2016,34,7,,21,,11,,6,,3,,21,,313,,14,,"MI (4 ), OH (3 )"
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,30,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,24,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,42,,-,23,,0,,55,,80,,85,,78,,130,,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,47,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Marburg fever",2016,7,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,9,,-,,-,,-,,-,,NN,,NN,,NN,,NN,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,37,3,,3291,,,-,,NN,,NN,,NN,,NN,,NN,"NYC (1 ), DE (1 ), MD (1 )"
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,29,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,33,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Junin hemorrhagic fever",2016,7,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Measles†††,2016,42,,-,59,,1,,188,,667,,187,,55,,220,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,21,,-,,-,0,,55,,80,,85,,78,,130,,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,42,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,22,,-,,-,0,,11,,11,,22,,2,,3,,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,35,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,46,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,34,,-,,-,,-,,-,,-,,-,,-,,-,
Novel influenza A virus infections¶¶¶,2016,44,,-,21,,0,,6,,3,,21,,313,,14,,
"Viral hemorrhagic fever††††, Lujo virus",2016,1,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus††",2016,41,,-,109,,2,,896,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Chikungunya virus††",2016,39,,-,90,,2,,896,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Chikungunya virus††",2016,28,,-,52,,8,,896,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,15,,-,,-,,-,8,,11,,22,,2,,3,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,17,,-,,-,,-,55,,80,,85,,78,,130,,
Measles†††,2016,46,,-,60,,1,,188,,667,,187,,55,,220,,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2016,22,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,26,,-,,-,0,,6,,8,,8,,15,,4,,
"Meningococcal disease, invasive§§§, serogroup B",2016,32,1,,46,,1,,111,,89,,99,,110,,159,,OH (1 )
Novel influenza A virus infections¶¶¶,2016,45,,-,21,,0,,6,,3,,21,,313,,14,,
"Arboviral diseases¶,** Powassan virus ",2016,15,,-,,-,,-,7,,8,,12,,7,,16,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, non typeable serotype ",2016,23,,-,76,,3,,150,,128,,141,,115,,93,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,13,,-,,-,,-,55,,80,,85,,78,,130,,
"Meningococcal disease, invasive¶¶¶, other serogroup",2016,13,,-,2,,1,,22,,25,,17,,20,,20,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,22,3,,92,,4,,199,,39,,34,,37,,48,,"FL (1 ), TN (1 ), OK (1 )"
SARS-CoV,2016,48,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever††††, Marburg fever",2016,19,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Lassa fever",2016,7,,-,,-,,-,,-,1,,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2016,40,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,28,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,24,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Machupo hemorrhagic fever",2016,6,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus§§ ",2016,18,,-,,-,,-,8,,11,,22,,2,,3,,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2016,36,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,32,3,,118,,3,,120,,196,,298,,260,,323,,"NYC (1 ), TN (1 ), OR (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,35,,-,79,,1,,135,,266,,233,,263,,230,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,27,,-,9,,0,,29,,40,,31,,30,,14,,
"Viral hemorrhagic fever††††, Ebola hemorrhagic fever",2016,16,,-,,-,,-,,-,4,,,NP,,NP,,NP,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,7,,-,,-,,-,,-,,NN,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,44,1,,107,,2,,135,,266,,233,,263,,230,,TN (1 )
"Arboviral diseases¶,** Chikungunya virus††",2016,7,,-,,-,,-,,-,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Crimean-Congo hemorrhagic fever",2016,29,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,7,,-,,-,,-,50,,80,,85,,78,,130,,
"Viral hemorrhagic fever§§§§, Sabia-associated hemorrhagic fever",2016,9,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Measles†††,2016,36,,-,51,,3,,188,,667,,187,,55,,220,,
"Arboviral diseases¶,** Powassan virus ",2016,46,,-,7,,0,,7,,8,,12,,7,,16,,
"Meningococcal disease, invasive§§§, unknown serogroup",2016,37,1,,129,,4,,120,,196,,298,,260,,323,,MD (1 )
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,1,,-,,-,,-,,-,,-,,-,,-,,-,
Novel influenza A virus infections¶¶¶,2016,3,,-,1,,12,,6,,3,,21,,313,,14,,
"Meningococcal disease, invasive¶¶¶, serogroup B",2016,9,1,,9,,3,,86,,89,,99,,110,,159,,VA (1 )
"Viral hemorrhagic fever††††, Lujo virus",2016,48,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus††",2016,12,,-,16,,1,,797,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Marburg fever",2016,20,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus††",2016,21,,-,35,,3,,896,,,NN,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, serotype b",2016,16,,-,7,,1,,26,,40,,31,,30,,14,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,41,1,,95,,2,,135,,266,,233,,263,,230,,AZ (1 )
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,26,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever††††, Lujo virus",2016,21,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,44,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,17,,-,,-,0,,7,,8,,12,,7,,16,,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,47,,-,,-,,-,,-,,-,,-,,-,,-,
Tularemia,2016,48,,-,191,,1,,314,,180,,203,,149,,166,,
"Viral hemorrhagic fever††††, Machupo hemorrhagic fever",2016,23,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Zika virus††,§§§§, Zika virus congenital infection ",2016,21,,NA,,NA,,NA,,NN,,NN,,NN,,NN,,NN,
Measles†††,2016,40,,-,53,,1,,188,,667,,187,,55,,220,,
Novel influenza A virus infections¶¶¶,2016,30,,-,3,,7,,6,,3,,21,,313,,14,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,48,,-,13,,0,,21,,32,,21,,30,,23,,
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,10,,-,,-,,-,19,,10,,1,,3,,6,,
"Arboviral diseases¶,** Chikungunya virus††",2016,33,,-,64,,7,,896,,,NN,,NN,,NN,,NN,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,20,,-,46,,1,,127,,266,,233,,263,,230,,
"Viral hemorrhagic fever††††, Marburg fever",2016,28,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, serogroup B",2016,16,,-,21,,3,,97,,89,,99,,110,,159,,
"Arboviral diseases¶,** Chikungunya virus††",2016,46,,-,135,,2,,896,,,NN,,NN,,NN,,NN,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,40,4,,3868,,,-,,NN,,NN,,NN,,NN,,NN,"NYC (2 ), PA (1 ), SC (1 )"
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,44,,-,3,,0,,1,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Marburg fever",2016,1,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive§§§, other serogroup",2016,39,,-,12,,0,,21,,25,,17,,20,,20,,
"Arboviral diseases¶,** Chikungunya virus††",2016,8,,-,,-,0,,767,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Eastern equine encephalitis virus ",2016,36,,-,1,,1,,6,,8,,8,,15,,4,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,48,1,,112,,1,,135,,266,,233,,263,,230,,TX (1 )
"Viral hemorrhagic fever§§§§, Junin hemorrhagic fever",2016,11,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lujo virus",2016,44,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,28,,-,65,,1,,135,,266,,233,,263,,230,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, other serotype",2016,18,,-,43,,1,,125,,266,,233,,263,,230,,
"Viral hemorrhagic fever††††, Sabia-associated hemorrhagic fever",2016,23,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Measles†††,2016,28,1,,47,,4,,188,,667,,187,,55,,220,,FL (1 )
"Meningococcal disease, invasive§§§, serogroup ACWY",2016,43,,-,75,,3,,120,,123,,142,,161,,257,,
"Arboviral diseases¶,** La Crosse virus§§ ",2016,32,,-,2,,2,,55,,80,,85,,78,,130,,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,28,4,,121,,3,,167,,39,,34,,37,,48,,"MD (1 ), VA (1 ), GA (1 ), FL (1 )"
"Arboviral diseases¶,** St. Louis encephalitis virus ",2016,2,,-,,-,,-,19,,10,,1,,3,,6,,
"Meningococcal disease, invasive§§§, serogroup B",2016,23,,-,32,,2,,104,,89,,99,,110,,159,,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,46,,-,4353,,,-,,NN,,NN,,NN,,NN,,NN,
"Hemolytic uremic syndrome, postdiarrheal**",2016,48,1,,239,,4,,274,,250,,329,,274,,290,,OK (1 )
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,27,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)¶¶, unknown serotype",2016,30,3,,127,,3,,167,,39,,34,,37,,48,,"NY (1 ), PA (1 ), FL (1 )"
"Viral hemorrhagic fever††††, Marburg fever",2016,22,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive¶¶¶, unknown serogroup",2016,14,1,,52,,6,,156,,196,,298,,260,,323,,NYC (1 )
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,27,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lujo virus",2016,38,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Zika virus††,§§§§, Zika virus disease, non-congenital infection",2016,45,,-,4181,,,-,,NN,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever††††, Guanarito hemorrhagic fever",2016,25,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
Measles†††,2016,30,1,,49,,2,,188,,667,,187,,55,,220,,FL (1 )
"Meningococcal disease, invasive§§§, unknown serogroup",2016,39,2,,134,,4,,120,,196,,298,,260,,323,,"NYC (1 ), FL (1 )"
"Viral hemorrhagic fever§§§§, Machupo hemorrhagic fever",2016,12,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus ",2016,21,,-,1,,1,,7,,8,,12,,7,,16,,
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,32,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever††††, Lassa fever",2016,39,,-,,-,,-,,-,1,,,NP,,NP,,NP,
Measles†††,2016,39,1,,53,,1,,188,,667,,187,,55,,220,,AZ (1 )
"Arboviral diseases¶,** Zika virus¶¶ ",2016,7,1,,82,,,-,25,,,NN,,NN,,NN,,NN,FL (1 )
"Arboviral diseases¶,** Western equine encephalitis virus ",2016,46,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,24,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Lujo virus",2016,41,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever§§§§, Sabia-associated hemorrhagic fever",2016,12,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever††††, Marburg fever",2016,44,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
"Hantavirus infections**, Hantavirus infection (non-HPS)††",2016,42,,-,3,,0,,1,,,NN,,NN,,NN,,NN,
"Arboviral diseases¶,** Powassan virus ",2016,14,,-,,-,,-,7,,8,,12,,7,,16,,
"Viral hemorrhagic fever††††, Junin hemorrhagic fever",2016,18,,-,,-,,-,,-,,NP,,NP,,NP,,NP,
