Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,43,1,,67,,0,,63,,35,,55,,80,,85,,TN (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,43,,-,26,,1,,33,,30,,29,,40,,31,,
"Botulism, total",2018,43,1,,147,,3,,177,,201,,195,,161,,152,,
"Viral hemorrhagic fever***, Sabia virus",2018,43,,-,,-,,-,,-,,-,,-,,NP,,NP,
Chancroid,2018,43,,-,8,,0,,7,,11,,11,,,-,,-,
Measles††,2018,43,14,,164,,1,,120,,85,,188,,667,,187,,NY (14 )
"Botulism, infant",2018,43,1,,103,,3,,137,,144,,138,,127,,136,,NY (1 )
Tularemia,2018,43,14,,172,,3,,239,,230,,314,,180,,203,,"NY (1 ), OK (13 )"
"Hemolytic uremic syndrome, postdiarrheal¶",2018,43,2,,218,,7,,338,,307,,274,,250,,329,,"VA (1 ), CO (1 )"
Trichinellosis¶,2018,43,,-,1,,0,,15,,26,,14,,14,,22,,
Yellow fever,2018,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Syphilis, congenital",2018,43,,-,608,,12,,923,,633,,493,,458,,348,,
"Influenza-associated pediatric mortality¶,**",2018,43,3,,177,,1,,126,,82,,130,,141,,160,,"TX (1 ), CA (2 )"
"Q fever¶, chronic",2018,43,,-,20,,1,,40,,32,,34,,36,,33,,
"Poliomyelitis, paralytic",2018,46,,-,,-,,-,,-,,-,,-,,-,1,,
"Viral hemorrhagic fevers***, Lassa virus",2018,43,,-,,-,,-,,-,,-,1,,1,,,NP,
Streptococcal toxic-shock syndrome¶,2018,43,,-,218,,4,,372,,283,,335,,259,,224,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,43,,-,23,,0,,75,,15,,11,,11,,22,,
Smallpox,2018,43,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-resistant Staphylococcus aureus¶,2018,43,,-,,-,0,,,-,,-,3,,,-,,-,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,43,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Guanarito virus",2018,43,,-,,-,,-,,-,,-,,-,,NP,,NP,
Paratyphoid fever¶¶,2018,43,,-,46,,,NA,,NA,,NA,,NA,,NA,,NA,
"Q fever¶, acute",2018,43,,-,114,,2,,153,,132,,122,,132,,137,,
Anthrax,2018,43,,-,1,,,-,,-,,-,,-,,-,,-,
Novel Influenza A virus infections§§,2018,43,,-,14,,0,,66,,23,,7,,3,,21,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,43,2,,183,,3,,203,,187,,167,,39,,34,,"NY (1 ), OH (1 )"
"Meningococcal disease, Serogroups ACWY",2018,43,,-,68,,2,,107,,126,,120,,123,,142,,
"Viral hemorrhagic fevers***, Lujo virus",2018,43,,-,,-,,-,,-,,-,,-,,NP,,NP,
Leptospirosis¶,2018,43,1,,58,,1,,69,,78,,40,,38,,,NN,GA (1 )
Typhoid fever ,2018,43,1,,257,,5,,419,,376,,367,,349,,338,,AZ (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,43,,-,4,,0,,11,,8,,23,,10,,1,,
"Botulism, foodborne",2018,43,,-,10,,0,,19,,31,,37,,15,,4,,
"Poliomyelitis, paralytic",2018,43,,-,,-,,-,,-,,-,,-,,-,1,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,43,,-,1,,0,,,-,6,,3,,,NN,,NN,
Brucellosis,2018,43,1,,98,,2,,140,,127,,126,,92,,99,,MD (1 )
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Rabies, human",2018,43,,-,2,,0,,2,,,-,2,,1,,2,,
"Viral hemorrhagic fevers***, Machupo virus",2018,43,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroup B",2018,43,,-,43,,2,,90,,86,,111,,89,,99,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,43,,-,48,,4,,109,,108,,183,,212,,248,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,43,2,,119,,3,,189,,159,,135,,266,,233,,"AR (1 ), TX (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,43,,-,76,,4,,156,,247,,896,,,NN,,NN,
"Q fever¶, total",2018,43,,-,134,,3,,193,,164,,156,,168,,170,,
Brucellosis,2018,44,,-,100,,2,,140,,127,,126,,92,,99,,
"Hepatitis B, perinatal infection",2018,44,,-,12,,1,,31,,34,,37,,47,,48,,
Trichinellosis¶,2018,44,,-,1,,0,,15,,26,,14,,14,,22,,
Novel Influenza A virus infections§§,2018,44,,-,14,,0,,66,,23,,7,,3,,21,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Rabies, human",2018,44,,-,2,,0,,2,,,-,2,,1,,2,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,44,,-,70,,0,,63,,35,,55,,80,,85,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,44,,-,77,,4,,156,,247,,896,,,NN,,NN,
Streptococcal toxic-shock syndrome¶,2018,44,1,,225,,4,,372,,283,,335,,259,,224,,OH (1 )
Yellow fever,2018,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Poliomyelitis, paralytic",2018,44,,-,,-,,-,,-,,-,,-,,-,1,,
"Meningococcal disease, Serogroups ACWY",2018,44,,-,70,,2,,107,,126,,120,,123,,142,,
"Influenza-associated pediatric mortality¶,**",2018,44,,-,177,,1,,126,,82,,130,,141,,160,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,44,6,,231,,7,,338,,307,,274,,250,,329,,"MD (1 ), OK (5 )"
Leptospirosis¶,2018,44,,-,61,,1,,69,,78,,40,,38,,,NN,
"Syphilis, congenital",2018,44,,-,632,,12,,923,,633,,493,,458,,348,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,44,3,,125,,2,,189,,159,,135,,266,,233,,"NE (1 ), TX (2 )"
"Meningococcal disease, Other serogroups",2018,44,,-,16,,0,,25,,21,,21,,25,,17,,
Cyclosporiasis¶,2018,44,,-,2928,,3,,1194,,535,,645,,388,,784,,
Smallpox,2018,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lassa virus",2018,44,,-,,-,,-,,-,,-,1,,1,,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,44,,-,133,,3,,200,,196,,175,,128,,141,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,44,,-,4,,0,,11,,8,,23,,10,,1,,
Measles††,2018,44,6,,176,,1,,120,,85,,188,,667,,187,,"NY (5 ), NYC (1 )"
Typhoid fever ,2018,44,,-,269,,5,,419,,376,,367,,349,,338,,
"Viral hemorrhagic fevers***, Lujo virus",2018,44,,-,,-,,-,,-,,-,,-,,NP,,NP,
Plague,2018,44,,-,1,,0,,1,,4,,16,,10,,4,,
Hantavirus pulmonary syndrome¶ ,2018,44,,-,10,,1,,12,,31,,21,,32,,21,,
"Viral hemorrhagic fevers***, Junin virus",2018,44,,-,,-,,-,,-,,-,,-,,NP,,NP,
Toxic-shock syndrome (other than Streptococcal)¶,2018,44,1,,24,,1,,30,,40,,64,,59,,71,,NE (1 )
"Viral hemorrhagic fevers***, Guanarito virus",2018,44,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,44,,-,1,,0,,,-,6,,3,,,NN,,NN,
"Botulism, total",2018,44,2,,156,,4,,177,,201,,195,,161,,152,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,44,,-,22,,0,,75,,15,,11,,11,,22,,
"Botulism, infant",2018,44,2,,110,,3,,137,,144,,138,,127,,136,,"MD (1 ), VA (1 )"
Vancomycin-resistant Staphylococcus aureus¶,2018,44,,-,,-,0,,,-,,-,3,,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,44,,-,26,,1,,33,,30,,29,,40,,31,,
Hansen's disease¶,2018,44,1,,45,,1,,94,,78,,89,,88,,81,,FL (1 )
Paratyphoid fever¶¶,2018,44,1,,51,,,NA,,NA,,NA,,NA,,NA,,NA,MD (1 )
"Polio virus Infection, nonparalytic¶",2018,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,44,,-,14,,1,,34,,22,,7,,8,,12,,
Tularemia,2018,44,,-,173,,3,,239,,230,,314,,180,,203,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,44,2,,188,,4,,203,,187,,167,,39,,34,,"NYC (1 ), PA (1 )"
"Q fever¶, chronic",2018,44,,-,19,,1,,40,,32,,34,,36,,33,,
"Viral hemorrhagic fever***, Sabia virus",2018,44,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroup B",2018,44,,-,43,,2,,90,,86,,111,,89,,99,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, Unknown serogroup",2018,44,3,,133,,3,,131,,142,,120,,196,,298,,"NY (1 ), NYC (1 ), OR (1 )"
Listeriosis,2018,44,10,,600,,16,,887,,786,,768,,769,,735,,"NY (3 ), OH (5 ), FL (1 ), TX (1 )"
Psittacosis¶,2018,44,,-,11,,0,,5,,12,,4,,8,,6,,
"Q fever¶, total",2018,44,1,,138,,2,,193,,164,,156,,168,,170,,
"Viral hemorrhagic fevers***, Machupo virus",2018,44,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Ebola virus ",2018,44,,-,,-,,-,,-,,-,,-,4,,,NP,
"Botulism, foodborne",2018,44,,-,10,,0,,19,,31,,37,,15,,4,,
Anthrax,2018,44,,-,1,,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus¶,2018,44,1,,52,,3,,109,,108,,183,,212,,248,,OH (1 )
"Q fever¶, acute",2018,44,1,,119,,2,,153,,132,,122,,132,,137,,PA (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,44,,-,5,,0,,5,,7,,6,,8,,8,,
Chancroid,2018,44,,-,8,,0,,7,,11,,11,,,-,,-,
"Botulism, other (wound and unspecified)",2018,44,,-,36,,0,,21,,26,,20,,19,,12,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,44,,-,,-,,-,,-,,-,,-,,NP,,NP,
Cholera,2018,44,,-,5,,0,,4,,15,,5,,5,,14,,
"Viral hemorrhagic fever***, Marburg virus",2018,44,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Other serogroups",2018,45,1,,17,,0,,25,,21,,21,,25,,17,,CO (1 )
Chancroid,2018,45,,-,8,,0,,7,,11,,11,,,-,,-,
Novel Influenza A virus infections§§,2018,45,,-,14,,0,,66,,23,,7,,3,,21,,
Vancomycin-resistant Staphylococcus aureus¶,2018,45,,-,,-,0,,,-,,-,3,,,-,,-,
"Meningococcal disease, Unknown serogroup",2018,45,1,,134,,2,,131,,142,,120,,196,,298,,FL (1 )
Paratyphoid fever¶¶,2018,45,,-,51,,,NA,,NA,,NA,,NA,,NA,,NA,
"Poliomyelitis, paralytic",2018,45,,-,,-,,-,,-,,-,,-,,-,1,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,45,1,,235,,6,,338,,307,,274,,250,,329,,ID (1 )
"Q fever¶, total",2018,45,1,,142,,2,,193,,164,,156,,168,,170,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,45,,-,75,,0,,63,,35,,55,,80,,85,,
"Viral hemorrhagic fevers***, Lassa virus",2018,45,,-,,-,,-,,-,,-,1,,1,,,NP,
"Viral hemorrhagic fever***, Marburg virus",2018,45,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Junin virus",2018,45,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, infant",2018,45,2,,112,,3,,137,,144,,138,,127,,136,,"MO (1 ), TX (1 )"
"Viral hemorrhagic fever***, Sabia virus",2018,45,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,45,,-,,-,,-,,-,,-,,-,,NP,,NP,
Cholera,2018,45,,-,5,,0,,4,,15,,5,,5,,14,,
Psittacosis¶,2018,45,,-,11,,0,,5,,12,,4,,8,,6,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,45,,-,5,,,-,5,,7,,6,,8,,8,,
Typhoid fever ,2018,45,,-,270,,4,,419,,376,,367,,349,,338,,
"Polio virus Infection, nonparalytic¶",2018,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lujo virus",2018,45,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroup B",2018,45,,-,43,,2,,90,,86,,111,,89,,99,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,45,,-,14,,1,,34,,22,,7,,8,,12,,
Hansen's disease¶,2018,45,,-,46,,1,,94,,78,,89,,88,,81,,
Listeriosis,2018,45,4,,616,,15,,887,,786,,768,,769,,735,,"NYC (1 ), MD (1 ), FL (1 ), CO (1 )"
Hantavirus pulmonary syndrome¶ ,2018,45,,-,10,,0,,12,,31,,21,,32,,21,,
Plague,2018,45,,-,1,,0,,1,,4,,16,,10,,4,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,45,,-,133,,3,,200,,196,,175,,128,,141,,
Brucellosis,2018,45,1,,103,,1,,140,,127,,126,,92,,99,,TX (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,45,,-,77,,4,,156,,247,,896,,,NN,,NN,
"Rabies, human",2018,45,,-,2,,0,,2,,,-,2,,1,,2,,
"Meningococcal disease, Serogroups ACWY",2018,45,2,,74,,3,,107,,126,,120,,123,,142,,"MA (1 ), TX (1 )"
"Viral hemorrhagic fevers***, Guanarito virus",2018,45,,-,,-,,-,,-,,-,,-,,NP,,NP,
Anthrax,2018,45,,-,1,,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,45,,-,26,,1,,33,,30,,29,,40,,31,,
Yellow fever,2018,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2018,45,,-,37,,0,,21,,26,,20,,19,,12,,
Trichinellosis¶,2018,45,,-,1,,0,,15,,26,,14,,14,,22,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,45,1,,54,,3,,109,,108,,183,,212,,248,,MO (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,45,,-,125,,2,,189,,159,,135,,266,,233,,
"Syphilis, congenital",2018,45,,-,661,,11,,923,,633,,493,,458,,348,,
Smallpox,2018,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Ebola virus ",2018,45,,-,,-,,-,,-,,-,,-,4,,,NP,
Tularemia,2018,45,1,,177,,3,,239,,230,,314,,180,,203,,AR (1 )
"Q fever¶, acute",2018,45,1,,123,,2,,153,,132,,122,,132,,137,,NY (1 )
"Influenza-associated pediatric mortality¶,**",2018,45,,-,177,,1,,126,,82,,130,,141,,160,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,45,,-,4,,0,,11,,8,,23,,10,,1,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,45,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than Streptococcal)¶,2018,45,,-,24,,1,,30,,40,,64,,59,,71,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,45,,-,27,,0,,75,,15,,11,,11,,22,,
Streptococcal toxic-shock syndrome¶,2018,45,1,,228,,4,,372,,283,,335,,259,,224,,ME (1 )
Measles††,2018,45,9,,190,,1,,120,,85,,188,,667,,187,,"MA (1 ), NY (7 ), NYC (1 )"
"Q fever¶, chronic",2018,45,,-,19,,1,,40,,32,,34,,36,,33,,
"Botulism, total",2018,45,2,,159,,4,,177,,201,,195,,161,,152,,
"Botulism, foodborne",2018,45,,-,10,,0,,19,,31,,37,,15,,4,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,45,5,,193,,4,,203,,187,,167,,39,,34,,"GA (1 ), FL (3 ), OR (1 )"
"Hepatitis B, perinatal infection",2018,45,2,,15,,1,,31,,34,,37,,47,,48,,NY (2 )
Cyclosporiasis¶,2018,45,,-,2939,,2,,1194,,535,,645,,388,,784,,
"Viral hemorrhagic fevers***, Machupo virus",2018,45,,-,,-,,-,,-,,-,,-,,NP,,NP,
Leptospirosis¶,2018,45,,-,61,,1,,69,,78,,40,,38,,,NN,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,45,,-,1,,0,,,-,6,,3,,,NN,,NN,
"Rabies, human",2018,46,,-,3,,0,,2,,,-,2,,1,,2,,
Paratyphoid fever¶¶,2018,46,,-,52,,,NA,,NA,,NA,,NA,,NA,,NA,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,46,,-,4,,0,,11,,8,,23,,10,,1,,
Vancomycin-resistant Staphylococcus aureus¶,2018,46,,-,,-,,-,,-,,-,3,,,-,,-,
Cyclosporiasis¶,2018,46,1,,2942,,2,,1194,,535,,645,,388,,784,,AK (1 )
"Viral hemorrhagic fevers***, Lassa virus",2018,46,,-,,-,,-,,-,,-,1,,1,,,NP,
Trichinellosis¶,2018,46,,-,1,,0,,15,,26,,14,,14,,22,,
Novel Influenza A virus infections§§,2018,46,,-,14,,0,,66,,23,,7,,3,,21,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,46,,-,14,,0,,34,,22,,7,,8,,12,,
Anthrax,2018,46,,-,1,,,-,,-,,-,,-,,-,,-,
Cholera,2018,46,,-,5,,0,,4,,15,,5,,5,,14,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,46,,-,133,,4,,200,,196,,175,,128,,141,,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,46,1,,236,,6,,338,,307,,274,,250,,329,,PA (1 )
Hansen's disease¶,2018,46,,-,47,,1,,94,,78,,89,,88,,81,,
"Viral hemorrhagic fever***, Sabia virus",2018,46,,-,,-,,-,,-,,-,,-,,NP,,NP,
Brucellosis,2018,46,2,,106,,1,,140,,127,,126,,92,,99,,"NY (1 ), OK (1 )"
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,46,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,46,2,,197,,1,,120,,85,,188,,667,,187,,"NY (1 ), ID (1 )"
"Influenza-associated pediatric mortality¶,**",2018,46,1,,178,,1,,126,,82,,130,,141,,160,,FL (1 )
Vancomycin-intermediate Staphylococcus aureus¶,2018,46,1,,55,,3,,109,,108,,183,,212,,248,,NY (1 )
"Meningococcal disease, Serogroups ACWY",2018,46,,-,74,,2,,107,,126,,120,,123,,142,,
Chancroid,2018,46,,-,6,,0,,7,,11,,11,,,-,,-,
Smallpox,2018,46,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis¶,2018,46,,-,61,,1,,69,,78,,40,,38,,,NN,
"Syphilis, congenital",2018,46,,-,708,,11,,923,,633,,493,,458,,348,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,46,,-,5,,,-,5,,7,,6,,8,,8,,
"Hepatitis B, perinatal infection",2018,46,,-,14,,1,,31,,34,,37,,47,,48,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,46,,-,78,,4,,156,,247,,896,,,NN,,NN,
"Meningococcal disease, Serogroup B",2018,46,,-,43,,2,,90,,86,,111,,89,,99,,
Tularemia,2018,46,1,,178,,2,,239,,230,,314,,180,,203,,MO (1 )
Typhoid fever ,2018,46,,-,274,,4,,419,,376,,367,,349,,338,,
"Q fever¶, acute",2018,46,1,,124,,2,,153,,132,,122,,132,,137,,WY (1 )
Listeriosis,2018,46,10,,632,,15,,887,,786,,768,,769,,735,,"NY (2 ), NYC (2 ), OH (2 ), FL (3 ), TX (1 )"
"Botulism, infant",2018,46,2,,115,,3,,137,,144,,138,,127,,136,,PA (2 )
Plague,2018,46,,-,1,,0,,1,,4,,16,,10,,4,,
Yellow fever,2018,46,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Junin virus",2018,46,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Guanarito virus",2018,46,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, foodborne",2018,46,,-,10,,0,,19,,31,,37,,15,,4,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,46,,-,1,,0,,,-,6,,3,,,NN,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,46,,-,76,,0,,63,,35,,55,,80,,85,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,46,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Ebola virus ",2018,46,,-,,-,,-,,-,,-,,-,4,,,NP,
"Polio virus Infection, nonparalytic¶",2018,46,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis¶,2018,46,,-,11,,0,,5,,12,,4,,8,,6,,
"Viral hemorrhagic fevers***, Machupo virus",2018,46,,-,,-,,-,,-,,-,,-,,NP,,NP,
Streptococcal toxic-shock syndrome¶,2018,46,,-,230,,5,,372,,283,,335,,259,,224,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,46,,-,26,,1,,33,,30,,29,,40,,31,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,46,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever¶, chronic",2018,46,1,,20,,1,,40,,32,,34,,36,,33,,WY (1 )
"Viral hemorrhagic fever***, Marburg virus",2018,46,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Other serogroups",2018,46,,-,17,,0,,25,,21,,21,,25,,17,,
"Meningococcal disease, Unknown serogroup",2018,46,1,,136,,3,,131,,142,,120,,196,,298,,NYC (1 )
"Q fever¶, total",2018,46,2,,144,,2,,193,,164,,156,,168,,170,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,46,,-,25,,1,,30,,40,,64,,59,,71,,
"Botulism, total",2018,46,2,,164,,3,,177,,201,,195,,161,,152,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,46,3,,197,,4,,203,,187,,167,,39,,34,,"PA (1 ), AZ (1 ), OR (1 )"
Hantavirus pulmonary syndrome¶ ,2018,46,,-,10,,0,,12,,31,,21,,32,,21,,
"Botulism, other (wound and unspecified)",2018,46,,-,39,,0,,21,,26,,20,,19,,12,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,46,,-,125,,3,,189,,159,,135,,266,,233,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,46,,-,27,,0,,75,,15,,11,,11,,22,,
"Viral hemorrhagic fevers***, Lujo virus",2018,46,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, total",2018,47,,-,146,,2,,193,,164,,156,,168,,170,,
Vancomycin-resistant Staphylococcus aureus¶,2018,47,,-,,-,0,,3,,,-,3,,,-,,-,
"Botulism, total",2018,47,,-,166,,3,,177,,201,,195,,161,,152,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,47,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,47,,-,4,,0,,11,,8,,23,,10,,1,,
"Meningococcal disease, Other serogroups",2018,47,,-,17,,0,,25,,21,,21,,25,,17,,
"Rabies, human",2018,47,,-,3,,,-,2,,,-,2,,1,,2,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,47,,-,32,,0,,75,,15,,11,,11,,22,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,47,,-,,-,,-,,-,,-,,-,,NP,,NP,
Chancroid,2018,47,,-,6,,0,,7,,11,,11,,,-,,-,
"Polio virus Infection, nonparalytic¶",2018,47,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis¶,2018,47,,-,61,,1,,72,,78,,40,,38,,,NN,
Hansen's disease¶,2018,47,,-,48,,1,,94,,78,,89,,88,,81,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,47,,-,56,,2,,109,,108,,183,,212,,248,,
Brucellosis,2018,47,,-,108,,2,,140,,127,,126,,92,,99,,
Psittacosis¶,2018,47,1,,12,,0,,5,,12,,4,,8,,6,,MI (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,47,,-,81,,4,,156,,247,,896,,,NN,,NN,
Paratyphoid fever¶¶,2018,47,1,,53,,,NA,,NA,,NA,,NA,,NA,,NA,NYC (1 )
"Influenza-associated pediatric mortality¶,**",2018,47,2,,180,,1,,126,,82,,130,,141,,160,,"SC (1 ), UT (1 )"
Anthrax,2018,47,,-,1,,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Junin virus",2018,47,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,47,,-,1,,0,,2,,6,,3,,,NN,,NN,
"Viral hemorrhagic fevers***, Ebola virus ",2018,47,,-,,-,,-,,-,,-,,-,4,,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,47,,-,5,,,-,5,,7,,6,,8,,8,,
"Viral hemorrhagic fever***, Sabia virus",2018,47,,-,,-,,-,,-,,-,,-,,NP,,NP,
Trichinellosis¶,2018,47,,-,1,,1,,15,,26,,14,,14,,22,,
"Poliomyelitis, paralytic",2018,47,,-,,-,,-,,-,,-,,-,,-,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,47,,-,78,,0,,63,,35,,55,,80,,85,,
