Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
Plague,2014,42,,-,4,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,42,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,42,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,42,1,,3,,,-,6,,2,,2,,4,,9,,NE (1 )
"Q fever, total§",2014,42,2,,109,,2,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,42,2,,87,,2,,137,,113,,110,,106,,93,,"MI (1 ), CA (1 )"
"Q fever, chronic",2014,42,,-,22,,0,,33,,22,,24,,25,,20,,
"Rabies, human",2014,42,,-,,-,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,42,,-,8,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,42,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,42,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,42,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,42,,-,146,,2,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,42,,-,218,,6,,348,,322,,360,,377,,423,,
Tetanus,2014,42,,-,20,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,42,,-,37,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,42,,-,11,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,42,1,,129,,3,,203,,149,,166,,124,,93,,NE (1 )
Typhoid fever,2014,42,2,,254,,7,,338,,354,,390,,467,,397,,"NYC (1 ), FL (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,42,2,,162,,3,,248,,134,,82,,91,,78,,"NY (1 ), NYC (1 )"
Vancomycin-resistant Staphylococcus aureus§,2014,42,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,42,16,,873,,21,,1299,,1111,,832,,846,,789,,"NY (1 ), NYC (1 ), DE (1 ), MD (1 ), FL (8 ), TN (1 ), WA (2 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,42,2,,4,,,-,,-,,-,,-,1,,,NN,"TX (1 ), MN (1 )"
Yellow fever,2014,42,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,43,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,43,,-,52,,1,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,43,,-,7,,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,43,,-,7,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,43,,-,5,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,43,1,,108,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,43,,-,13,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,43,1,,80,,2,,136,,123,,97,,80,,83,,OH (1 )
"Botulism, other (wound and unspecified)",2014,43,,-,15,,1,,12,,18,,32,,25,,25,,
Brucellosis,2014,43,1,,70,,2,,99,,114,,79,,115,,115,,OK (1 )
Chancroid,2014,43,1,,17,,0,,10,,15,,8,,24,,28,,WA (1 )
Cholera,2014,43,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,43,,-,355,,2,,784,,123,,151,,179,,141,,
Diphtheria,2014,43,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,43,1,,19,,0,,31,,30,,14,,23,,35,,ME (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,43,1,,133,,3,,222,,205,,145,,200,,236,,TN (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,43,3,,190,,3,,185,,210,,226,,223,,178,,"FL (2 ), WA (1 )"
Hansen disease§,2014,43,,-,45,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,43,,-,20,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,43,2,,156,,7,,329,,274,,290,,266,,242,,"NY (1 ), AR (1 )"
"Hepatitis B, virus infection perinatal",2014,43,,-,27,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,43,,-,104,,5,,160,,52,,118,,61,,358,,
Leptospirosis,2014,43,,-,10,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,43,7,,500,,16,,735,,727,,870,,821,,851,,"ME (1 ), NY (1 ), PA (3 ), CO (1 ), WA (1 )"
Measles§§,2014,43,1,,600,,1,,187,,55,,220,,63,,71,,OH (1 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,43,,-,82,,4,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,43,1,,47,,2,,99,,110,,159,,135,,174,,OK (1 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,43,,-,20,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,43,2,,179,,6,,298,,260,,323,,406,,482,,FL (2 )
Novel influenza A virus infections***,2014,43,1,,3,,742,,21,,313,,14,,4,,43774,,WI (1 )
Plague,2014,43,,-,4,,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,43,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,43,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,43,1,,3,,,-,6,,2,,2,,4,,9,,NE (1 )
"Q fever, total§",2014,43,,-,110,,2,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,43,,-,88,,2,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,43,,-,22,,0,,33,,22,,24,,25,,20,,
"Rabies, human",2014,43,,-,1,,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,43,,-,7,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,43,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,43,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,43,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,43,,-,146,,2,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,43,,-,223,,6,,348,,322,,360,,377,,423,,
Tetanus,2014,43,,-,20,,0,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,43,,-,37,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,43,,-,11,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,43,4,,132,,3,,203,,149,,166,,124,,93,,"NY (1 ), NE (1 ), OK (1 ), WA (1 )"
Typhoid fever,2014,43,5,,258,,6,,338,,354,,390,,467,,397,,"NYC (3 ), PA (1 ), WA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,43,,-,163,,3,,248,,134,,82,,91,,78,,
Vancomycin-resistant Staphylococcus aureus§,2014,43,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,43,18,,898,,18,,1299,,1111,,832,,846,,789,,"RI (1 ), NY (2 ), OH (1 ), FL (6 ), TX (1 ), WA (7 )"
Viral hemorrhagic fever¶¶¶,2014,43,1,,5,,,-,,-,,-,,-,1,,,NN,NYC (1 )
Yellow fever,2014,43,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,44,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,44,,-,58,,0,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,44,,-,8,,0,,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,44,,-,6,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,44,,-,6,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,44,,-,108,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,44,,-,13,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,44,,-,80,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,44,,-,15,,1,,12,,18,,32,,25,,25,,
Brucellosis,2014,44,1,,70,,1,,99,,114,,79,,115,,115,,FL (1 )
Chancroid,2014,44,2,,22,,0,,10,,15,,8,,24,,28,,CA (2 )
Cholera,2014,44,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,44,,-,355,,2,,784,,123,,151,,179,,141,,
Diphtheria,2014,44,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,44,,-,19,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,44,1,,138,,3,,222,,205,,145,,200,,236,,NY (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,44,1,,190,,4,,185,,210,,226,,223,,178,,OH (1 )
Hansen disease§,2014,44,,-,45,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,44,,-,20,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,44,1,,155,,7,,329,,274,,290,,266,,242,,FL (1 )
"Hepatitis B, virus infection perinatal",2014,44,,-,29,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,44,,-,104,,6,,160,,52,,118,,61,,358,,
Leptospirosis,2014,44,,-,11,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,44,8,,515,,16,,735,,727,,870,,821,,851,,"NYC (1 ), PA (2 ), MO (1 ), FL (3 ), TX (1 )"
Measles§§,2014,44,,-,599,,1,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,44,1,,84,,4,,142,,161,,257,,280,,301,,CO (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,44,,-,48,,2,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,44,,-,18,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,44,2,,186,,6,,298,,260,,323,,406,,482,,"MD (1 ), FL (1 )"
Novel influenza A virus infections***,2014,44,,-,3,,741,,21,,313,,14,,4,,43774,,
Plague,2014,44,,-,4,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,44,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,44,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,44,,-,3,,,-,6,,2,,2,,4,,9,,
"Q fever, total§",2014,44,,-,117,,2,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,44,,-,94,,1,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,44,,-,23,,0,,33,,22,,24,,25,,20,,
"Rabies, human",2014,44,,-,1,,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,44,,-,7,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,44,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,44,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,44,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,44,,-,150,,2,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,44,,-,234,,6,,348,,322,,360,,377,,423,,
Tetanus,2014,44,,-,20,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,44,1,,38,,1,,71,,65,,78,,82,,74,,TN (1 )
Trichinellosis,2014,44,,-,12,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,44,,-,134,,3,,203,,149,,166,,124,,93,,
Typhoid fever,2014,44,,-,262,,5,,338,,354,,390,,467,,397,,
Vancomycin-intermediate Staphylococcus aureus§,2014,44,3,,168,,3,,245,,134,,82,,91,,78,,"NY (1 ), NYC (2 )"
Vancomycin-resistant Staphylococcus aureus§,2014,44,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,44,6,,943,,17,,1299,,1111,,832,,846,,789,,"NY (1 ), FL (3 ), TX (1 ), CA (1 )"
Viral hemorrhagic fever¶¶¶,2014,44,,-,5,,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,44,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,45,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,45,,-,59,,0,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,45,,-,8,,,-,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,45,,-,6,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,45,,-,6,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,45,1,,114,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,45,,-,13,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,45,1,,86,,2,,136,,123,,97,,80,,83,,TX (1 )
"Botulism, other (wound and unspecified)",2014,45,,-,15,,1,,12,,18,,32,,25,,25,,
Brucellosis,2014,45,1,,72,,1,,99,,114,,79,,115,,115,,NE (1 )
Chancroid,2014,45,1,,18,,0,,10,,15,,8,,24,,28,,NY (1 )
Cholera,2014,45,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,45,,-,355,,2,,784,,123,,151,,179,,141,,
Diphtheria,2014,45,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,45,,-,19,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,45,,-,139,,3,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,45,1,,192,,4,,185,,210,,226,,223,,178,,FL (1 )
Hansen disease§,2014,45,,-,45,,2,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,45,,-,21,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,45,1,,156,,6,,329,,274,,290,,266,,242,,CA (1 )
"Hepatitis B, virus infection perinatal",2014,45,,-,30,,1,,48,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,45,,-,104,,5,,160,,52,,118,,61,,358,,
Leptospirosis,2014,45,1,,14,,0,,,NN,,NN,,NN,,NN,,NN,AL (1 )
Listeriosis,2014,45,11,,535,,15,,735,,727,,870,,821,,851,,"NY (1 ), NYC (4 ), PA (2 ), MO (1 ), FL (2 ), WA (1 )"
Measles§§,2014,45,,-,600,,1,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,45,1,,85,,4,,142,,161,,257,,280,,301,,OK (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,45,,-,50,,2,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,45,,-,20,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,45,1,,188,,7,,298,,260,,323,,406,,482,,NY (1 )
Novel influenza A virus infections***,2014,45,,-,3,,642,,21,,313,,14,,4,,43774,,
Plague,2014,45,,-,4,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,45,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,45,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,45,,-,3,,,-,6,,2,,2,,4,,9,,
"Q fever, total§",2014,45,2,,121,,2,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,45,2,,98,,1,,137,,113,,110,,106,,93,,"OK (1 ), CA (1 )"
"Q fever, chronic",2014,45,,-,23,,0,,33,,22,,24,,25,,20,,
"Rabies, human",2014,45,,-,1,,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,45,,-,7,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,45,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,45,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,45,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,45,,-,153,,3,,224,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,45,,-,234,,6,,348,,322,,360,,377,,423,,
Tetanus,2014,45,,-,20,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,45,,-,39,,1,,71,,65,,78,,82,,74,,
Trichinellosis,2014,45,,-,12,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,45,3,,139,,2,,203,,149,,166,,124,,93,,"MI (1 ), OK (1 ), CO (1 )"
Typhoid fever,2014,45,2,,269,,5,,338,,354,,390,,467,,397,,"NYC (1 ), CA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,45,1,,169,,3,,248,,134,,82,,91,,78,,OH (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,45,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,45,11,,969,,14,,1299,,1111,,832,,846,,789,,"NY (1 ), VA (1 ), FL (3 ), AL (1 ), TX (2 ), WA (1 ), CA (2 )"
Viral hemorrhagic fever¶¶¶,2014,45,,-,5,,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,45,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,46,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,46,,-,72,,0,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,46,,-,8,,,-,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,46,,-,6,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,46,,-,6,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,46,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,46,,-,116,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,46,,-,13,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,46,,-,88,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,46,,-,15,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,46,,-,73,,1,,99,,114,,79,,115,,115,,
Chancroid,2014,46,1,,19,,0,,10,,15,,8,,24,,28,,CA (1 )
Cholera,2014,46,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,46,,-,356,,1,,784,,123,,151,,179,,141,,
Diphtheria,2014,46,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,46,1,,21,,0,,31,,30,,14,,23,,35,,TX (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,46,,-,140,,4,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,46,2,,197,,4,,185,,210,,226,,223,,178,,"AZ (1 ), CA (1 )"
Hansen disease§,2014,46,1,,46,,1,,81,,82,,82,,98,,103,,VA (1 )
Hantavirus pulmonary syndrome§,2014,46,,-,22,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,46,1,,161,,6,,329,,274,,290,,266,,242,,NC (1 )
"Hepatitis B, virus infection perinatal",2014,46,1,,31,,1,,48,,40,,,U,,U,,U,TX (1 )
"Influenza-associated pediatric mortality§,††",2014,46,,-,104,,6,,160,,52,,118,,61,,358,,
Leptospirosis,2014,46,,-,15,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,46,12,,554,,14,,735,,727,,870,,821,,851,,"NY (1 ), NYC (1 ), PA (2 ), OH (2 ), MO (1 ), FL (2 ), CO (2 ), CA (1 )"
Measles§§,2014,46,,-,608,,1,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,46,,-,86,,4,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,46,1,,52,,2,,99,,110,,159,,135,,174,,ID (1 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,46,1,,21,,0,,17,,20,,20,,12,,23,,CO (1 )
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,46,3,,191,,7,,298,,260,,323,,406,,482,,"OH (1 ), VA (2 )"
Novel influenza A virus infections***,2014,46,,-,3,,537,,21,,313,,14,,4,,43774,,
Plague,2014,46,,-,5,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,46,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,46,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,46,,-,3,,,-,6,,2,,2,,4,,9,,
"Q fever, total§",2014,46,,-,127,,2,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,46,,-,103,,1,,137,,113,,110,,106,,93,,
"Q fever, chronic",2014,46,,-,24,,0,,33,,22,,24,,25,,20,,
"Rabies, human",2014,46,,-,1,,0,,2,,1,,6,,2,,4,,
Rubella†††,2014,46,,-,8,,0,,9,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,46,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,46,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,46,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,46,3,,171,,3,,224,,194,,168,,142,,161,,"VA (1 ), NC (2 )"
"Syphilis, congenital (age <1 yr)§§§",2014,46,,-,243,,6,,348,,322,,360,,377,,423,,
Tetanus,2014,46,,-,20,,1,,26,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,46,1,,40,,1,,71,,65,,78,,82,,74,,CO (1 )
Trichinellosis,2014,46,,-,12,,0,,22,,18,,15,,7,,13,,
Tularemia,2014,46,,-,141,,2,,203,,149,,166,,124,,93,,
Typhoid fever,2014,46,1,,270,,5,,338,,354,,390,,467,,397,,NYC (1 )
Vancomycin-intermediate Staphylococcus aureus§,2014,46,1,,170,,2,,248,,134,,82,,91,,78,,NY (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,46,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,46,2,,988,,13,,1299,,1111,,832,,846,,789,,"TX (1 ), WA (1 )"
Viral hemorrhagic fever¶¶¶,2014,46,,-,5,,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,46,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,47,,-,,-,0,,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,47,,-,75,,0,,95,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,47,,-,8,,,-,8,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,47,,-,6,,0,,12,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,47,,-,6,,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,47,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,47,,-,120,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,47,,-,13,,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,47,,-,92,,2,,136,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,47,,-,15,,1,,12,,18,,32,,25,,25,,
Brucellosis,2014,47,2,,76,,1,,99,,114,,79,,115,,115,,"OH (1 ), FL (1 )"
Chancroid,2014,47,,-,19,,0,,10,,15,,8,,24,,28,,
Cholera,2014,47,,-,,-,0,,14,,17,,40,,13,,10,,
Cyclosporiasis§,2014,47,,-,358,,1,,784,,123,,151,,179,,141,,
Diphtheria,2014,47,,-,1,,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,47,,-,22,,0,,31,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,47,,-,143,,4,,222,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,47,1,,200,,5,,185,,210,,226,,223,,178,,MD (1 )
Hansen disease§,2014,47,,-,46,,1,,81,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,47,,-,22,,0,,21,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,47,1,,161,,5,,329,,274,,290,,266,,242,,FL (1 )
"Hepatitis B, virus infection perinatal",2014,47,1,,32,,1,,48,,40,,,U,,U,,U,NC (1 )
"Influenza-associated pediatric mortality§,††",2014,47,4,,108,,5,,160,,52,,118,,61,,358,,"NC (1 ), FL (2 ), NV (1 )"
Leptospirosis,2014,47,,-,18,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,47,7,,570,,13,,735,,727,,870,,821,,851,,"PA (3 ), MD (1 ), FL (1 ), TX (1 ), WA (1 )"
Measles§§,2014,47,,-,610,,1,,187,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,47,,-,86,,5,,142,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,47,,-,54,,2,,99,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,47,,-,21,,0,,17,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,47,4,,195,,7,,298,,260,,323,,406,,482,,FL (4 )
Novel influenza A virus infections***,2014,47,,-,3,,398,,21,,313,,14,,4,,43774,,
Plague,2014,47,,-,5,,,-,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,47,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,47,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,47,1,,4,,,-,6,,2,,2,,4,,9,,FL (1 )
"Q fever, total§",2014,47,1,,128,,2,,170,,135,,134,,131,,113,,
"Q fever, acute",2014,47,1,,104,,1,,137,,113,,110,,106,,93,,NY (1 )
"Q fever, chronic",2014,47,,-,24,,0,,33,,22,,24,,25,,20,,
