Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2017,"Cum 2017, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2016,"Total cases reported  2016, flag",Total cases reported 2015,"Total cases reported 2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",States reporting cases during current week (No.) 
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,41,1,,115,,2,,159,,135,,266,,233,,263,,AR (1 )
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,41,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2017,41,,-,224,,7,,307,,274,,250,,329,,274,,
Toxic-shock syndrome (other than staphylococcal)**,2017,41,,-,16,,1,,40,,64,,59,,71,,65,,
"Botulism, infant",2017,41,,-,84,,3,,144,,138,,127,,136,,123,,
"Botulism, total",2017,41,,-,115,,3,,201,,195,,161,,152,,168,,
"Q fever, chronic**",2017,41,,-,23,,1,,32,,34,,36,,33,,22,,
"Polio virus Infection, nonparalytic**",2017,41,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2017,41,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Powassan virus disease",2017,41,,-,24,,0,,22,,7,,8,,12,,7,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,41,,-,48,,2,,126,,120,,123,,142,,161,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,41,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,41,2,,182,,3,,187,,167,,39,,34,,37,,"NC (1 ), OR (1 )"
Diphtheria,2017,41,,-,,-,,-,,-,,-,1,,,-,1,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,41,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Smallpox,2017,41,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,41,,-,103,,3,,196,,175,,128,,141,,115,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,41,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, foodborne",2017,41,,-,17,,0,,31,,37,,15,,4,,27,,
Measles***,2017,41,,-,122,,1,,85,,188,,667,,187,,55,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,42,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,42,,-,19,,1,,30,,29,,40,,31,,30,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,42,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017,42,1,,69,,3,,246,,896,,,NN,,NN,,NN,TX (1 )
"Arboviral diseases¶,** Powassan virus disease",2017,42,,-,24,,0,,22,,7,,8,,12,,7,,
Yellow fever,2017,42,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,42,,-,43,,0,,15,,11,,11,,22,,2,,
"Rabies, human",2017,42,,-,,-,0,,,-,2,,1,,2,,1,,
Leptospirosis**,2017,42,,-,44,,1,,78,,40,,38,,,NN,,NN,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,42,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,42,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Cholera,2017,42,,-,1,,0,,2,,5,,5,,14,,17,,
Psittacosis**,2017,42,,-,4,,0,,12,,4,,8,,6,,2,,
Streptococcal toxic-shock syndrome**,2017,42,,-,247,,3,,283,,335,,259,,224,,194,,
Vancomycin-intermediate Staphylococcus aureus**,2017,42,,-,72,,4,,108,,183,,212,,248,,134,,
"Q fever, total**",2017,42,,-,128,,2,,164,,156,,168,,170,,135,,
"Q fever, chronic**",2017,42,,-,23,,1,,32,,34,,36,,33,,22,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,42,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Plague,2017,42,,-,1,,0,,,-,16,,10,,4,,4,,
Tularemia,2017,42,,-,179,,4,,230,,314,,180,,203,,149,,
Brucellosis,2017,42,1,,100,,2,,127,,126,,92,,99,,114,,VA (1 )
"Hepatitis B, perinatal virus infection§§",2017,42,,-,19,,1,,32,,37,,47,,48,,40,,
"Q fever, acute**",2017,42,,-,105,,2,,132,,122,,132,,137,,113,,
"Viral hemorrhagic fever****, Lujo virus",2017,42,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,42,,-,3,,0,,8,,23,,10,,1,,3,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,42,,-,49,,2,,86,,111,,89,,99,,110,,
Vancomycin-resistant Staphylococcus aureus**,2017,42,,-,,-,,-,,-,3,,,-,,-,2,,
Smallpox,2017,42,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2017,42,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2017,42,6,,556,,17,,786,,768,,769,,735,,727,,"NY (1 ), NYC (1 ), KS (1 ), MD (1 ), VA (1 ), FL (1 )"
"Poliomyelitis, paralytic",2017,42,,-,,-,,-,,-,,-,,-,1,,,-,
"Syphilis, congenital¶¶¶",2017,42,,-,437,,9,,633,,493,,458,,348,,322,,
Toxic-shock syndrome (other than staphylococcal)**,2017,42,,-,17,,1,,40,,64,,59,,71,,65,,
"Influenza-associated pediatric mortality**,¶¶",2017,42,1,,113,,0,,83,,130,,141,,160,,52,,TN (1 )
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,42,,-,48,,2,,126,,120,,123,,142,,161,,
Anthrax,2017,42,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2017,42,,-,122,,1,,85,,188,,667,,187,,55,,
"Zika virus disease, non-congenital††††  ",2017,42,1,,373,,26,,5116,,,NN,,NN,,NN,,NN,TX (1 )
"Botulism, infant",2017,42,1,,86,,3,,144,,138,,127,,136,,123,,PA (1 )
Hansen's disease**,2017,42,,-,48,,2,,78,,89,,88,,81,,82,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,42,1,,231,,7,,307,,274,,250,,329,,274,,VA (1 )
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,42,,-,1,,0,,7,,6,,8,,8,,15,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,42,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Botulism, total",2017,42,1,,117,,3,,201,,195,,161,,152,,168,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,42,1,,184,,3,,187,,167,,39,,34,,37,,OK (1 )
"Botulism, foodborne",2017,42,,-,17,,0,,31,,37,,15,,4,,27,,
"Viral hemorrhagic fever****, Marburg fever",2017,42,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,42,3,,154,,3,,142,,120,,196,,298,,260,,"PA (2 ), OR (1 )"
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,42,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus disease",2017,42,,-,36,,0,,35,,55,,80,,85,,78,,
Trichinellosis**,2017,42,,-,11,,0,,26,,14,,14,,22,,18,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,42,,-,10,,0,,14,,21,,32,,21,,30,,
"Viral hemorrhagic fever****, Lassa fever",2017,42,,-,,-,,-,,-,1,,1,,,NP,,NP,
Diphtheria,2017,42,,-,,-,,-,,-,,-,1,,,-,1,,
Novel influenza A virus infections§§§,2017,42,,-,20,,0,,23,,7,,3,,21,,313,,
Cyclosporiasis**,2017,42,3,,1035,,3,,535,,645,,388,,784,,123,,"NY (2 ), NYC (1 )"
"Hantavirus**, Hantavirus infection, non-HPS",2017,42,,-,,-,0,,2,,3,,,NN,,NN,,NN,
Chancroid,2017,42,1,,7,,0,,7,,11,,,-,,-,15,,TX (1 )
"Botulism, other (wound and unspecified)",2017,42,,-,14,,0,,26,,20,,19,,12,,18,,
SARS-CoV,2017,42,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,42,,-,12,,0,,21,,21,,25,,17,,20,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,42,,-,115,,2,,159,,135,,266,,233,,263,,
Typhoid fever (caused by Salmonella typhi),2017,42,13,,287,,5,,376,,367,,349,,338,,354,,"NYC (1 ), OH (11 ), MD (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,42,2,,106,,3,,196,,175,,128,,141,,115,,"VA (1 ), TX (1 )"
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,43,,-,,-,,-,,-,,-,4,,,NP,,NP,
Listeriosis,2017,43,11,,576,,16,,786,,768,,769,,735,,727,,"NY (3 ), NYC (3 ), MD (1 ), VA (1 ), FL (1 ), CO (2 )"
"Syphilis, congenital¶¶¶",2017,43,,-,460,,9,,633,,493,,458,,348,,322,,
"Botulism, other (wound and unspecified)",2017,43,,-,14,,0,,26,,20,,19,,12,,18,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,43,2,,185,,3,,187,,167,,39,,34,,37,,"PA (1 ), FL (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,43,,-,19,,1,,30,,29,,40,,31,,30,,
"Rabies, human",2017,43,,-,,-,0,,,-,2,,1,,2,,1,,
Yellow fever,2017,43,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2017,43,3,,1041,,3,,535,,645,,388,,784,,123,,"CT (1 ), VA (1 ), AZ (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,43,,-,107,,3,,196,,175,,128,,141,,115,,
Psittacosis**,2017,43,,-,4,,0,,12,,4,,8,,6,,2,,
"Arboviral diseases¶,** Powassan virus disease",2017,43,,-,25,,0,,22,,7,,8,,12,,7,,
Vancomycin-intermediate Staphylococcus aureus**,2017,43,,-,72,,4,,108,,183,,212,,248,,134,,
"Botulism, total",2017,43,,-,118,,3,,201,,195,,161,,152,,168,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,43,,-,232,,7,,307,,274,,250,,329,,274,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,43,,-,50,,2,,126,,120,,123,,142,,161,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2017,43,,-,17,,0,,31,,37,,15,,4,,27,,
"Q fever, total**",2017,43,1,,131,,2,,164,,156,,168,,170,,135,,
Vancomycin-resistant Staphylococcus aureus**,2017,43,,-,,-,,-,,-,3,,,-,,-,2,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,43,1,,120,,3,,159,,135,,266,,233,,263,,KY (1 )
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,43,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, acute**",2017,43,,-,107,,2,,132,,122,,132,,137,,113,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,43,4,,157,,3,,142,,120,,196,,298,,260,,"PA (1 ), MO (1 ), FL (1 ), OR (1 )"
"Influenza-associated pediatric mortality**,¶¶",2017,43,1,,114,,1,,82,,130,,141,,160,,52,,AL (1 )
Plague,2017,43,,-,1,,0,,4,,16,,10,,4,,4,,
SARS-CoV,2017,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,43,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Brucellosis,2017,43,,-,100,,2,,127,,126,,92,,99,,114,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,43,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017,43,,-,,-,,-,,-,1,,1,,,NP,,NP,
Toxic-shock syndrome (other than staphylococcal)**,2017,43,,-,17,,1,,40,,64,,59,,71,,65,,
Chancroid,2017,43,,-,7,,0,,7,,11,,,-,,-,15,,
Tularemia,2017,43,,-,183,,3,,230,,314,,180,,203,,149,,
Novel influenza A virus infections§§§,2017,43,,-,20,,0,,23,,7,,3,,21,,313,,
"Zika virus disease, non-congenital††††  ",2017,43,,-,379,,32,,5132,,,NN,,NN,,NN,,NN,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,43,,-,12,,0,,21,,21,,25,,17,,20,,
"Polio virus Infection, nonparalytic**",2017,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,43,,-,3,,0,,8,,23,,10,,1,,3,,
"Botulism, infant",2017,43,,-,87,,3,,144,,138,,127,,136,,123,,
Leptospirosis**,2017,43,,-,46,,1,,78,,40,,38,,,NN,,NN,
Streptococcal toxic-shock syndrome**,2017,43,1,,250,,3,,283,,335,,259,,224,,194,,KY (1 )
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,43,,-,46,,0,,15,,11,,11,,22,,2,,
Smallpox,2017,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, chronic**",2017,43,1,,24,,1,,32,,34,,36,,33,,22,,ID (1 )
"Hepatitis B, perinatal virus infection§§",2017,43,,-,19,,1,,32,,37,,47,,48,,40,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,43,,-,,-,0,,6,,3,,,NN,,NN,,NN,
Typhoid fever (caused by Salmonella typhi),2017,43,1,,292,,5,,376,,367,,349,,338,,354,,OH (1 )
Hansen's disease**,2017,43,,-,48,,2,,78,,89,,88,,81,,82,,
Trichinellosis**,2017,43,,-,11,,0,,26,,14,,14,,22,,18,,
"Arboviral diseases¶,** La Crosse virus disease",2017,43,,-,36,,0,,35,,55,,80,,85,,78,,
Diphtheria,2017,43,,-,,-,,-,,-,,-,1,,,-,1,,
Measles***,2017,43,,-,123,,1,,85,,188,,667,,187,,55,,
"Viral hemorrhagic fever****, Lujo virus",2017,43,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017,43,2,,80,,4,,247,,896,,,NN,,NN,,NN,"NY (1 ), TX (1 )"
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,43,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Poliomyelitis, paralytic",2017,43,,-,,-,,-,,-,,-,,-,1,,,-,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,43,,-,49,,2,,86,,111,,89,,99,,110,,
"Viral hemorrhagic fever****, Marburg fever",2017,43,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Anthrax,2017,43,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,43,,-,11,,0,,31,,21,,32,,21,,30,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,43,,-,1,,0,,7,,6,,8,,8,,15,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,43,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus infection, non-HPS",2017,44,,-,,-,0,,6,,3,,,NN,,NN,,NN,
Plague,2017,44,,-,1,,0,,4,,16,,10,,4,,4,,
Vancomycin-intermediate Staphylococcus aureus**,2017,44,1,,73,,3,,108,,183,,212,,248,,134,,PA (1 )
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,44,,-,,-,,-,,-,,-,,NP,,NP,,NP,
SARS-CoV,2017,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,44,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, total",2017,51,,-,79,,4,,201,,195,,161,,152,,168,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,44,,-,21,,1,,30,,29,,40,,31,,30,,
Diphtheria,2017,44,,-,,-,,-,,-,,-,1,,,-,1,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,44,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, other (wound and unspecified)",2017,44,,-,15,,0,,26,,20,,19,,12,,18,,
"Viral hemorrhagic fever****, Lassa fever",2017,44,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Q fever, total**",2017,44,2,,137,,2,,164,,156,,168,,170,,135,,
Cholera,2017,44,,-,3,,0,,15,,5,,5,,14,,17,,
Listeriosis,2017,44,6,,591,,16,,786,,768,,769,,735,,727,,"ME (1 ), NY (1 ), NYC (1 ), OH (1 ), FL (1 ), CA (1 )"
"Botulism, infant",2017,44,2,,91,,3,,144,,138,,127,,136,,123,,"OH (1 ), WA (1 )"
"Viral hemorrhagic fever****, Marburg fever",2017,44,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus disease",2017,44,,-,26,,0,,22,,7,,8,,12,,7,,
"Botulism, foodborne",2017,44,,-,17,,0,,31,,37,,15,,4,,27,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,44,,-,11,,1,,31,,21,,32,,21,,30,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,44,3,,163,,3,,142,,120,,196,,298,,260,,"OH (1 ), WV (1 ), OR (1 )"
Tularemia,2017,44,3,,189,,3,,230,,314,,180,,203,,149,,OK (3 )
"Hemolytic uremic syndrome, postdiarrheal**",2017,44,3,,238,,7,,307,,274,,250,,329,,274,,"ME (1 ), NYC (1 ), CA (1 )"
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,44,1,,121,,2,,159,,135,,266,,233,,263,,TX (1 )
"Q fever, acute**",2017,44,1,,111,,1,,132,,122,,132,,137,,113,,NY (1 )
Smallpox,2017,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2017,44,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2017,44,,-,123,,1,,85,,188,,667,,187,,55,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,44,,-,49,,0,,15,,11,,11,,22,,2,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,44,,-,107,,3,,196,,175,,128,,141,,115,,
"Syphilis, congenital¶¶¶",2017,44,,-,462,,9,,633,,493,,458,,348,,322,,
"Hepatitis B, perinatal virus infection§§",2017,44,,-,19,,1,,32,,37,,47,,48,,40,,
Trichinellosis**,2017,44,1,,12,,1,,26,,14,,14,,22,,18,,WA (1 )
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,44,,-,,-,,-,,-,,-,4,,,NP,,NP,
Cyclosporiasis**,2017,44,1,,1045,,2,,535,,645,,388,,784,,123,,OH (1 )
Psittacosis**,2017,44,,-,4,,0,,12,,4,,8,,6,,2,,
Yellow fever,2017,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,44,,-,51,,2,,86,,111,,89,,99,,110,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,44,,-,3,,0,,8,,23,,10,,1,,3,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,44,,-,12,,0,,21,,21,,25,,17,,20,,
Brucellosis,2017,44,,-,102,,1,,127,,126,,92,,99,,114,,
Leptospirosis**,2017,44,,-,46,,1,,78,,40,,38,,,NN,,NN,
Novel influenza A virus infections§§§,2017,44,,-,20,,0,,23,,7,,3,,21,,313,,
"Poliomyelitis, paralytic",2017,44,,-,,-,,-,,-,,-,,-,1,,,-,
Toxic-shock syndrome (other than staphylococcal)**,2017,44,,-,17,,1,,40,,64,,59,,71,,65,,
"Zika virus disease, non-congenital††††  ",2017,44,,-,394,,31,,5132,,,NN,,NN,,NN,,NN,
Anthrax,2017,44,,-,,-,,-,,-,,-,,-,,-,,-,
"Rabies, human",2017,44,,-,,-,0,,,-,2,,1,,2,,1,,
"Arboviral diseases¶,** Chikungunya virus disease",2017,44,,-,86,,3,,247,,896,,,NN,,NN,,NN,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,44,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-resistant Staphylococcus aureus**,2017,44,,-,,-,,-,,-,3,,,-,,-,2,,
"Botulism, total",2017,44,2,,123,,3,,201,,195,,161,,152,,168,,
"Q fever, chronic**",2017,44,1,,26,,1,,32,,34,,36,,33,,22,,NYC (1 )
"Viral hemorrhagic fever****, Lujo virus",2017,44,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,44,5,,192,,4,,187,,167,,39,,34,,37,,"OH (2 ), TN (1 ), TX (1 ), OR (1 )"
"Arboviral diseases¶,** La Crosse virus disease",2017,44,,-,35,,0,,35,,55,,80,,85,,78,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,44,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,44,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Hansen's disease**,2017,44,,-,50,,2,,78,,89,,88,,81,,82,,
"Influenza-associated pediatric mortality**,¶¶",2017,44,,-,114,,1,,82,,130,,141,,160,,52,,
Typhoid fever (caused by Salmonella typhi),2017,44,2,,298,,4,,376,,367,,349,,338,,354,,"NYC (1 ), AR (1 )"
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,44,,-,1,,0,,7,,6,,8,,8,,15,,
Streptococcal toxic-shock syndrome**,2017,44,3,,256,,4,,283,,335,,259,,224,,194,,"ME (1 ), OH (1 ), VA (1 )"
Chancroid,2017,44,,-,7,,0,,7,,11,,,-,,-,15,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,44,,-,52,,2,,126,,120,,123,,142,,161,,
"Zika virus disease, non-congenital††††  ",2017,45,1,,397,,28,,5132,,,NN,,NN,,NN,,NN,TX (1 )
"Hantavirus**, Hantavirus infection, non-HPS",2017,45,,-,,-,0,,6,,3,,,NN,,NN,,NN,
Plague,2017,45,,-,1,,0,,4,,16,,10,,4,,4,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,45,,-,1,,,-,7,,6,,8,,8,,15,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,45,,-,21,,1,,30,,29,,40,,31,,30,,
"Influenza-associated pediatric mortality**,¶¶",2017,45,,-,114,,1,,82,,130,,141,,160,,52,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,45,,-,54,,3,,126,,120,,123,,142,,161,,
Tularemia,2017,45,9,,200,,2,,230,,314,,180,,203,,149,,"OH (1 ), DE (1 ), OK (7 )"
"Viral hemorrhagic fever****, Lujo virus",2017,45,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,45,3,,163,,3,,142,,120,,196,,298,,260,,"OH (1 ), MD (1 ), FL (1 )"
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,45,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Toxic-shock syndrome (other than staphylococcal)**,2017,45,,-,17,,1,,40,,64,,59,,71,,65,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,45,,-,53,,2,,86,,111,,89,,99,,110,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,45,,-,241,,6,,307,,274,,250,,329,,274,,
Yellow fever,2017,45,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever (caused by Salmonella typhi),2017,45,2,,302,,4,,376,,367,,349,,338,,354,,NY (2 )
"Viral hemorrhagic fever****, Lassa fever",2017,45,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Rabies, human",2017,45,,-,,-,0,,,-,2,,1,,2,,1,,
"Q fever, acute**",2017,45,,-,115,,1,,132,,122,,132,,137,,113,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,45,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Polio virus Infection, nonparalytic**",2017,45,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis**,2017,45,1,,49,,1,,78,,40,,38,,,NN,,NN,OH (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,45,,-,108,,3,,196,,175,,128,,141,,115,,
Psittacosis**,2017,45,,-,4,,0,,12,,4,,8,,6,,2,,
"Poliomyelitis, paralytic",2017,45,,-,,-,,-,,-,,-,,-,1,,,-,
Chancroid,2017,45,,-,7,,0,,7,,11,,,-,,-,15,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,45,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, total**",2017,45,,-,142,,2,,164,,156,,168,,170,,135,,
Smallpox,2017,45,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2017,45,7,,602,,15,,786,,768,,769,,735,,727,,"NYC (2 ), OH (1 ), VA (1 ), FL (1 ), MT (1 ), AK (1 )"
Cholera,2017,45,,-,4,,0,,15,,5,,5,,14,,17,,
Vancomycin-resistant Staphylococcus aureus**,2017,45,,-,,-,,-,,-,3,,,-,,-,2,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,45,,-,11,,1,,31,,21,,32,,21,,30,,
"Botulism, foodborne",2017,45,,-,17,,0,,31,,37,,15,,4,,27,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,45,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,45,,-,51,,0,,15,,11,,11,,22,,2,,
"Syphilis, congenital¶¶¶",2017,45,,-,475,,9,,633,,493,,458,,348,,322,,
Streptococcal toxic-shock syndrome**,2017,45,1,,257,,4,,283,,335,,259,,224,,194,,MT (1 )
"Viral hemorrhagic fever****, Marburg fever",2017,45,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017,45,,-,19,,1,,32,,37,,47,,48,,40,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,45,,-,5,,0,,8,,23,,10,,1,,3,,
"Botulism, other (wound and unspecified)",2017,45,,-,15,,0,,26,,20,,19,,12,,18,,
Cyclosporiasis**,2017,45,,-,1051,,2,,535,,645,,388,,784,,123,,
Novel influenza A virus infections§§§,2017,45,,-,20,,0,,23,,7,,3,,21,,313,,
"Arboviral diseases¶,** Chikungunya virus disease",2017,45,1,,89,,4,,247,,896,,,NN,,NN,,NN,TX (1 )
Vancomycin-intermediate Staphylococcus aureus**,2017,45,,-,74,,3,,108,,183,,212,,248,,134,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,45,,-,,-,,-,,-,,-,,NP,,NP,,NP,
SARS-CoV,2017,45,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,45,,-,12,,0,,21,,21,,25,,17,,20,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,45,,-,123,,2,,159,,135,,266,,233,,263,,
Hansen's disease**,2017,45,,-,50,,1,,78,,89,,88,,81,,82,,
"Arboviral diseases¶,** Powassan virus disease",2017,45,,-,26,,0,,22,,7,,8,,12,,7,,
